time_iso8601,stars_cumulative
2023-10-16 00:00:00+00:00,1032
2023-10-19 00:00:00+00:00,1033
2023-10-20 00:00:00+00:00,1034
2023-10-30 00:00:00+00:00,1036
2023-11-01 00:00:00+00:00,1037
2023-11-03 00:00:00+00:00,1038
2023-11-09 00:00:00+00:00,1039
2023-11-13 00:00:00+00:00,1040
2023-11-15 00:00:00+00:00,1042
2023-11-20 00:00:00+00:00,1043
2023-11-22 00:00:00+00:00,1044
2023-11-27 00:00:00+00:00,1045
2023-12-05 00:00:00+00:00,1046
2023-12-09 00:00:00+00:00,1047
2023-12-13 00:00:00+00:00,1048
2023-12-14 00:00:00+00:00,1049
2023-12-15 00:00:00+00:00,1050
2023-12-20 00:00:00+00:00,1051
2023-12-21 00:00:00+00:00,1052
2024-01-05 00:00:00+00:00,1053
2024-01-08 00:00:00+00:00,1054
2024-01-11 00:00:00+00:00,1055
2024-01-15 00:00:00+00:00,1056
2024-01-16 00:00:00+00:00,1057
2024-01-19 00:00:00+00:00,1058
2024-01-20 00:00:00+00:00,1059
2024-01-29 00:00:00+00:00,1060
2024-02-21 00:00:00+00:00,1061
2024-03-02 00:00:00+00:00,1062
2024-03-15 00:00:00+00:00,1063
2024-03-26 00:00:00+00:00,1064
2024-03-31 00:00:00+00:00,1065
2024-04-02 00:00:00+00:00,1066
2024-04-04 00:00:00+00:00,1067
2024-04-08 00:00:00+00:00,1068
2024-04-09 00:00:00+00:00,1069
2024-04-12 00:00:00+00:00,1070
2024-04-15 00:00:00+00:00,1072
2024-04-25 00:00:00+00:00,1073
2024-04-27 00:00:00+00:00,1074
2024-05-01 00:00:00+00:00,1075
2024-05-04 00:00:00+00:00,1076
2024-05-11 00:00:00+00:00,1077
2024-05-16 00:00:00+00:00,1078
2024-05-18 00:00:00+00:00,1079
2024-05-20 00:00:00+00:00,1080
2024-05-24 00:00:00+00:00,1081
2024-05-28 00:00:00+00:00,1082
2024-06-01 00:00:00+00:00,1083
2024-06-04 00:00:00+00:00,1084
2024-06-09 00:00:00+00:00,1086
2024-06-10 00:00:00+00:00,1087
2024-06-12 00:00:00+00:00,1088
2024-06-28 00:00:00+00:00,1089
